Entity,Code,Year,Share under $2 per day,Share under $20 per day,Share under $5 per day,Share under $10 per day,Share under $5.2 a day (roughly equivalent to the international poverty line)
Mongolia,MNG,1910,76.6610858177177,99.9854030805541,96.9919772483373,99.7029164325231,97.312965598789
Mongolia,MNG,1929,63.1643430528147,99.8933708538383,92.2854766195442,98.7706450603219,92.9371175920107
Mongolia,MNG,1950,67.9475337916578,99.9866331252038,95.8293007154357,99.6407351164795,96.2898348535457
Mongolia,MNG,1960,59.3946296871533,99.6226553592285,88.6147045820665,97.3748895264554,89.3938391580409
Mongolia,MNG,1970,47.0088018796904,99.0836376331754,81.4213991394785,94.8050271277716,82.5103673753477
Mongolia,MNG,1980,35.6319157778799,98.0570314743458,72.5835561291063,90.8729101787673,73.9474151959797
Mongolia,MNG,1990,25.6087027891034,96.2341722525164,62.2907145356252,85.2179864062813,63.8549340325737
Mongolia,MNG,2000,15.3371261382124,92.5337917918866,48.3426573892333,75.8093703018987,50.0165496516015
Mongolia,MNG,2005,6.80531118362948,81.9086424578581,29.6510766748324,57.4841202270599,31.0814574018193
Mongolia,MNG,2010,2.08116154613532,65.4874884225974,14.2766557289787,36.8915033881125,15.2332094470992
Mongolia,MNG,2017,0.334727731412817,43.4124798552184,4.46974590664186,17.5606194169653,4.89384240758633
Montenegro,MNE,1820,87.8262078836856,99.9928689038256,98.6647523797294,99.8692428045395,98.8111840202977
Montenegro,MNE,1850,87.834030812141,99.9999995736532,99.862173263712,99.9993947221634,99.893634870538
Montenegro,MNE,1870,76.3467073815651,99.9811497495696,96.7620960452182,99.6546564911453,97.0971559986397
Montenegro,MNE,1890,56.8530808836456,99.9934937955724,94.8083015487981,99.6798375701309,95.4368901271212
Montenegro,MNE,1910,46.0539046253875,99.9265309897623,88.6103559840624,98.5859412240752,89.6512786613008
Montenegro,MNE,1929,39.6466114133807,99.3518135218684,79.6940692686548,95.1316410821966,80.9902903797076
Montenegro,MNE,1950,22.4964508758418,99.7428145998779,74.4897115456022,95.8024295185148,76.3943109941853
Montenegro,MNE,1960,0.585517022201885,99.6645163013561,33.0380776195664,87.2027826783504,36.3263510669823
Montenegro,MNE,1970,0.0046324788431263,86.8359885024486,2.81740036349002,34.6483671934338,3.41747933164743
Montenegro,MNE,1980,0.00216358334377075,54.3434792110595,0.779062058788232,12.4097575203634,0.946092017088774
Montenegro,MNE,1990,0.0207807993445269,67.7908286949791,2.61013407931624,22.9710537612862,3.05021350846371
Montenegro,MNE,2000,0.052338101806671,73.0520774504556,4.19179490199612,28.8684893946717,4.82006830042892
Montenegro,MNE,2005,0.287857655352233,55.3338150346577,5.37966481938772,23.0408312354835,5.94051060879559
Montenegro,MNE,2010,0.0317797746936312,31.4673573630423,1.22666888944955,8.60230206333223,1.39493488230836
Montenegro,MNE,2017,0.000316360720737641,14.340429490331,0.0838256515361573,1.7702204033517,0.102293611973335
Morocco,MAR,1820,73.3313865457231,99.6026608058135,92.382273063512,97.9463547669961,92.8657680824544
Morocco,MAR,1850,71.1564924106693,99.1115167650034,89.9586155323319,96.5983639388256,90.4913682747142
